Pays,Année,geo,Population,Température,Code,CO2,Catastrophes_totales,Cold wave,Ground movement,Avalanche (wet),Flood (General),Flash flood,Storm (General),Blizzard/Winter storm,Landslide (wet),Heat wave,Forest fire,Tropical cyclone,Severe weather,Hail,Tornado
Albania,2000,alb,3166148,17.320525136087095,ALB,6753847,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,2000,dza,30903893,17.879326047358834,DZA,183103260,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Argentina,2000,arg,37213984,16.88675799086758,ARG,376635360,6,1,0,0,3,0,0,1,0,0,1,0,0,0,0
Australia,2000,aus,19132471,16.805676988463876,AUS,745010100,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Austria,2000,aut,8012928,11.533090467516697,AUT,76663660,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Bahamas,2000,bhs,323835,25.21062271062271,BHS,2336503.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,2000,bgd,134544304,26.165861513687602,BGD,133661870,11,1,1,0,0,2,2,0,0,0,0,3,0,0,2
Barbados,2000,brb,262063,26.792085235920855,BRB,1621417.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,2000,blr,9991313,8.311778992106861,BLR,87296700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,2000,bel,10251717,11.28612629022465,BEL,152985070,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belize,2000,blz,240799,26.899543378995435,BLZ,5489773.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Benin,2000,ben,7221619,27.7231240981241,BEN,33144446,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2000,bra,174018282,22.3169964485033,BRA,2608235300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2000,bgr,8000520,10.959775349119612,BGR,55087170,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Burundi,2000,bdi,6470194,NA,BDI,6083978,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Canada,2000,can,30891803,5.641025641025641,CAN,896376260,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Central African Republic,2000,caf,3833416,25.742935131663458,CAF,34817136,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
China,2000,chn,1269581175,15.647439402223437,CHN,5307824000,22,0,5,0,2,3,5,0,2,0,0,4,0,0,1
Colombia,2000,col,39089934,12.966818873668188,COL,192686240,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Costa Rica,2000,cri,3937739,22.35016835016835,CRI,15956213,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Croatia,2000,hrv,4326105,13.252289377289378,HRV,18324206,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Cuba,2000,cub,11109109,23.971505889844,CUB,61365130,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cyprus,2000,cyp,947667,22.670063948840927,CYP,7285464,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Czechia,2000,cze,10236804,9.489981785063753,CZE,140005740,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,2000,dnk,5339658,9.063752276867032,DNK,70406660,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,2000,dom,8584190,26.021029504080353,DOM,31566902,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecuador,2000,ecu,12689206,18.49992251665892,ECU,72220080,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Egypt,2000,egy,73083284,21.798325722983257,EGY,225054400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,2000,eth,67411494,16.964966832504146,ETH,115401310,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Finland,2000,fin,5176202,6.964480874316941,FIN,96357980,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,2000,fra,59483717,13.202337583485125,FRA,486069280,7,0,0,0,6,0,0,0,0,0,0,0,0,0,1
Gabon,2000,gab,1275572,26.253015873015872,GAB,38731696,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,2000,gmb,1455084,26.052298850574715,GMB,2729783.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,2000,geo,4328358,13.988312082574378,GEO,6674673,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,2000,deu,81797258,11.165636667954166,DEU,1018299000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,2000,grc,10782635,18.77899210686096,GRC,122182570,6,0,1,0,2,0,0,0,0,1,2,0,0,0,0
